LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.1,49881.76371
AUT,Austria,7.2,45307.58786
BEL,Belgium,6.8,42012.62272
BRA,Brazil,6.1,8710.06329
CAN,Canada,7,42315.60371
CHE,Switzerland,7.5,83073.28008
CHL,Chile,6.2,13690.90746
COL,Colombia,5.7,5870.777957
CRI,Costa Rica,6.3,12011.22275
CZE,Czech Republic,6.9,18575.23203
DEU,Germany,7.3,42136.12079
DNK,Denmark,7.5,54663.99837
ESP,Spain,6.5,26523.34822
EST,Estonia,6.5,18295.34293
FIN,Finland,7.9,43814.02651
FRA,France,6.7,37062.53357
GBR,United Kingdom,6.8,41499.5557
GRC,Greece,5.8,17923.96681
HUN,Hungary,6,13107.37791
IRL,Ireland,7,62861.63912
ISL,Iceland,7.6,61987.92636
ISR,Israel,7.2,37330.2618
ITA,Italy,6.5,30960.73151
JPN,Japan,6.1,39375.47316
KOR,Korea,5.8,29288.87044
LTU,Lithuania,6.4,15008.31324
LUX,Luxembourg,7.4,106899.2935
LVA,Latvia,6.2,14331.75159
MEX,Mexico,6,8744.515559
NLD,Netherlands,7.5,46039.10593
NOR,Norway,7.3,70460.56053
NZL,New Zealand,7.3,40058.19616
POL,Poland,6.1,12447.43959
PRT,Portugal,5.8,19991.97249
RUS,Russia,5.5,8704.898438
SVK,Slovak Republic,6.5,16512.29299
SVN,Slovenia,6.5,21678.35947
SWE,Sweden,7.3,51965.15715
TUR,Türkiye,4.9,10894.60338
USA,United States,7,57866.74493
ZAF,South Africa,4.9,5756.965741
