"","year","da","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Sat","Sun","Thu","Tue","Wed"
"1",2020,24,524,37.3,33.7,1028.5,6.5,3.3,8,999.9,46,19.9,0,999.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"2",2021,12,278,37,29.1,1019,10,6.5,12,999.9,44.1,21,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"3",2021,22,254,36.5,28.4,1003.1,10,7.8,12,20,44.1,19.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"4",2021,27,262,34.6,33.8,1012.8,8,7.8,12,999.9,41,28.9,0.25,999.9,1,1,0,0,0,11000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"5",2021,26,263,31.9,23.4,1016.9,9,7.4,12,999.9,37.9,21,0,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"6",2022,24,237,34.5,23.8,1010.6,9.7,7.4,12,999.9,39.9,25,0,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"7",2020,13,476,42.5,37,1029.6,9.5,9.2,13,999.9,57,39.9,0.01,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8",2021,8,272,33.3,24.9,1013.3,10,7.2,13,999.9,41,26.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"9",2020,7,408,39,26.6,1016.6,10,8,13,999.9,43,24.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"10",2021,31,297,22.2,13.6,1025.2,10,7.6,14,999.9,28.9,15.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"11",2020,15,508,43.9,38.3,1019.4,8.2,5.4,14,15,51.1,35.1,0.02,999.9,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"12",2021,1,257,39.6,29.3,1029.3,10,7.6,14,20,54,33.1,0.13,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"13",2020,30,525,31.6,19.4,1023.4,10,9.4,15,999.9,37,21.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",2022,25,235,41.6,31.8,1013.2,10,9.6,15,19,48.9,30,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"15",2020,3,456,45.8,42.9,1010.3,7,10.3,15,999.9,46.9,33.1,0,999.9,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"16",2020,6,459,33.5,24,1013.2,9.9,5.3,15,999.9,43,24.1,0.01,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"17",2022,13,268,39.7,31.3,1017.6,10,6,15,999.9,48,28.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",2021,3,186,41.1,32.3,1018,10,10.3,19,27,53.1,39,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"19",2020,2,413,39.6,28.9,1011.8,10,13,19,26,46,33.1,0.01,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"20",2021,25,259,26.6,12.3,1015.4,10,11.4,19,28,34,19.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"21",2020,26,398,44.3,40.7,1006.4,6.5,13,19,28,51.1,36,0.44,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"22",2021,5,228,38.7,36.1,1009.7,8.6,16,19,26,44.1,37,0.14,999.9,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"23",2021,23,251,32.2,19,1009.4,10,13.2,19,26,44.1,24.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2022,22,267,31.2,20.6,1028.3,8.6,13.5,19,24.1,35.1,27,0,999.9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2020,25,383,43.1,39.6,1023.5,9,12.3,20,28.9,48.9,28,0,999.9,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2020,1,346,40.3,29.9,1003,10,11.4,20,26,52,36,0.01,999.9,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"27",2020,20,390,28.1,16.1,1015.1,10,15.7,20,27,46.9,21.9,0.04,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"28",2022,8,235,26.6,15.2,1025,10,13,20,32.1,41,18,0.17,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2020,11,439,49.4,46.1,1028.6,6.7,13.8,21,27,53.1,46.9,0,999.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2021,4,242,41.2,37.8,1011.2,9.1,15.7,21,28.9,44.1,39,0.4,999.9,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"31",2022,21,288,30.7,19.7,1028,9.8,17.5,21,27,48.9,27,0.02,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"32",2021,28,262,35.3,34.5,1012.8,9.6,11.1,21,32.1,41,32,0.02,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"33",2022,7,296,36.2,28.4,1008.8,8.2,12,22,31.1,51.1,33.1,0.13,999.9,1,1,0,0,0,11000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"34",2022,10,265,38.4,24.4,1015,9.5,14.6,22,28.9,52,28.9,0.04,999.9,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"35",2021,6,220,37.4,31.2,1009.5,9.9,17.3,22,28,39.9,35.1,0.01,999.9,1,1,0,0,0,11000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"36",2021,18,225,42.6,31,1004.7,10,15.6,22,26,45,37.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"37",2020,9,521,29.5,10.8,1030.7,10,15.3,22,35,42.1,24.1,0.34,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"38",2020,19,360,41.2,35.8,1004.9,7.5,14.4,22,27,46.9,19,0.21,999.9,1,1,0,0,0,11000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"39",2022,18,256,36.2,19.8,1000.8,9.8,19.7,26,35,54,30.9,0.6,999.9,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"40",2020,12,391,52,49.4,1017.2,2.9,19,26,36.9,55.9,44.6,0,999.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"41",2022,4,254,30.2,20.6,1024.9,8.4,14.4,27,35,41,25,0.05,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"42",2021,29,291,18.1,8.9,1010.8,8.5,21.7,27,38.1,37,10.9,0.01,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"43",2021,30,284,19.2,11.2,1020.3,9.5,15.3,27,40,23,10.9,0,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2020,5,291,40.1,33.8,1001.6,7.1,17,27,38.1,48.9,36,0.38,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"45",2022,15,235,24.2,11.7,1014.8,8.8,23,33,54,37,16,0.39,999.9,1,0,0,0,1000,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
